Data,Dzień,Wykryci zakażeni,Testy,Hospitalizowani,Zmarli,Kwarantanna,Nadzór,"Testy, wartości przybliżone",Kwarantanna po powrocie do kraju,Wydarzenia,Wyzdrowiali,Testowane osoby
03/24/20,20.0,901.0,22898.0,1479.0,10.0,62511.0,53426.0,,104529.0,Dalsze restrykcje (zgromadzenia max 2 os.),,
03/25/20,21.0,1031.0,26244.0,1615.0,14.0,70528.0,56930.0,,138680.0,,,
03/26/20,22.0,1221.0,29564.0,1606.0,16.0,83908.0,59081.0,,150474.0,,,
03/27/20,23.0,1389.0,34067.0,1696.0,16.0,94297.0,58306.0,,161859.0,,,
03/28/20,24.0,1638.0,38674.0,1719.0,18.0,97413.0,56585.0,,167890.0,,,
03/29/20,25.0,1862.0,42783.0,1879.0,22.0,100215.0,52612.0,,169092.0,,,
03/30/20,26.0,2055.0,46607.0,1900.0,31.0,106525.0,52370.0,,163789.0,,,
03/31/20,27.0,2311.0,51419.0,1924.0,33.0,171994.0,50804.0,,,"Kolejne restrykcje (zakaz wychodzenia młodzieży, 2 m odstępu, zamknięcie salonów fryzjerskich etc.)",,
04/01/20,28.0,2554.0,55801.0,,43.0,,,,,,,
04/02/20,29.0,2946.0,61178.0,2317.0,57.0,183095.0,48039.0,,,,,
04/03/20,30.0,3383.0,66938.0,2158.0,71.0,174997.0,44491.0,,,,,
04/04/20,31.0,3627.0,72901.0,2303.0,79.0,160587.0,41146.0,,,,116.0,
04/05/20,32.0,4102.0,80757.0,2434.0,94.0,131888.0,38157.0,,,,134.0,
04/06/20,33.0,4413.0,85467.0,2444.0,107.0,143256.0,37295.0,,,,162.0,
04/07/20,34.0,4848.0,92215.0,2476.0,129.0,148130.0,36391.0,,,,191.0,
04/08/20,35.0,5205.0,99284.0,2425.0,159.0,153390.0,33273.0,,,,222.0,
04/09/20,36.0,5575.0,107597.0,2473.0,174.0,152898.0,33989.0,,,,284.0,
04/10/20,37.0,5955.0,118295.0,2409.0,181.0,158663.0,33879.0,,,,318.0,
04/11/20,38.0,6356.0,129560.0,2426.0,208.0,166973.0,31370.0,,,,375.0,
04/12/20,39.0,6674.0,138007.0,2481.0,232.0,162974.0,30982.0,,,,439.0,
04/13/20,40.0,6934.0,143630.0,2510.0,245.0,151548.0,29571.0,,,,487.0,
04/14/20,41.0,7202.0,148321.0,2471.0,263.0,144875.0,28665.0,,,,618.0,
04/15/20,42.0,7582.0,156493.0,2499.0,286.0,145875.0,28084.0,,,,668.0,
04/16/20,43.0,7918.0,169071.0,2607.0,314.0,142220.0,25923.0,,,Dalsze restrykcje (zasłanianie twarzy),774.0,
04/17/20,44.0,8379.0,179654.0,2673.0,332.0,138004.0,25773.0,,,,866.0,
04/18/20,45.0,8742.0,192960.0,2725.0,347.0,118361.0,25273.0,,,,981.0,
04/19/20,46.0,9287.0,204246.0,2482.0,360.0,124311.0,17436.0,,,,1040.0,
04/20/20,47.0,9593.0,214236.0,2511.0,380.0,111079.0,17266.0,,,"Zniesienie części restrykcji (otwarcie parków i lasów, przemieszczanie rekreacyjne, sklepy i kościoły – więcej osób, swobodne przemieszczanie powyżej 13 roku życia)",1133.0,
04/21/20,48.0,9856.0,224355.0,2914.0,401.0,105602.0,21364.0,,,,1297.0,
04/22/20,49.0,10169.0,238799.0,3505.0,426.0,98020.0,22731.0,,,,1513.0,
04/23/20,50.0,10511.0,250719.0,3099.0,454.0,103129.0,21781.0,,,,1740.0,
04/24/20,51.0,10892.0,265201.0,3095.0,494.0,97905.0,20546.0,,,,1944.0,
04/25/20,52.0,11273.0,278994.0,2821.0,524.0,87003.0,19653.0,,,,2126.0,
04/26/20,53.0,11617.0,290633.0,2749.0,535.0,79656.0,19116.0,,,,2265.0,
04/27/20,54.0,11902.0,297859.0,2759.0,562.0,78878.0,18693.0,,,,2466.0,
04/28/20,55.0,12218.0,310744.0,2934.0,596.0,82643.0,18394.0,,,,2655.0,281787.0
04/29/20,56.0,12640.0,324527.0,2973.0,624.0,85837.0,18016.0,,,,3025.0,294589.0
04/30/20,57.0,12877.0,338027.0,3012.0,644.0,88265.0,18874.0,,,,3236.0,307098.0
05/01/20,58.0,13105.0,354628.0,2789.0,651.0,92458.0,18433.0,,,,3491.0,322749.0
05/02/20,59.0,13375.0,366013.0,2649.0,664.0,95625.0,18383.0,,,,3762.0,333362.0
05/03/20,60.0,13693.0,375948.0,2761.0,678.0,96612.0,18306.0,,,,3945.0,342744.0
05/04/20,61.0,14006.0,383804.0,2653.0,698.0,96699.0,17785.0,,,"Zniesienie części restrykcji (otwarte hotele, galerie handlowe, biblioteki)",4095.0,350048.0
05/05/20,62.0,14431.0,394270.0,2738.0,716.0,100765.0,17291.0,,,,4280.0,359690.0
05/06/20,63.0,14740.0,410468.0,2760.0,733.0,101395.0,17081.0,,,,4655.0,374694.0
05/07/20,64.0,15047.0,425994.0,2711.0,755.0,103913.0,16765.0,,,,4862.0,389076.0
05/08/20,65.0,15366.0,443506.0,2758.0,776.0,104024.0,17540.0,,,,5184.0,405282.0
05/09/20,66.0,15651.0,460686.0,2768.0,785.0,102996.0,17155.0,,,,5437.0,421168.0
05/10/20,67.0,15996.0,476904.0,2658.0,800.0,100784.0,17225.0,,,,5698.0,436641.0
05/11/20,68.0,16326.0,491216.0,2598.0,811.0,97002.0,17051.0,,,,5816.0,450254.0
05/12/20,69.0,16921.0,507778.0,2571.0,839.0,96211.0,17771.0,,,,6131.0,465976.0
05/13/20,70.0,17204.0,528122.0,2648.0,861.0,96062.0,18009.0,,,,6410.0,485169.0
05/14/20,71.0,17615.0,554357.0,2538.0,883.0,96708.0,18256.0,,,,6696.0,506733.0
05/15/20,72.0,18016.0,576276.0,2579.0,907.0,95068.0,18363.0,,,,6918.0,526895.0
05/16/20,73.0,18257.0,601394.0,2407.0,915.0,90386.0,18355.0,,,,7175.0,549792.0
